ID TIME BLK #BLOCKS
217 16.737 4 1
217 26.13 4 1
217 31.163 5 1
217 48.543 6 1
217 57.586 6 1
217 69.414 7 1
217 85.563 8 1
217 89.192 8 1
217 101.848 9 1
217 111.791 9 1
217 123.646 10 1
217 139.472 11 1
217 163.984 13 4
217 218.939 16 5
217 255.643 18 2
217 274.611 19 1
217 286.308 20 2
217 295.653 21 2
217 311.666 22 3
217 328.5 23 3
217 337.366 24 1
217 364.987 26 2
217 381.252 27 1
217 396.63 28 2
217 406.812 28 2
217 422.601 29 1
217 427.256 30 1
217 444.848 31 1
217 455.284 32 1
217 475.649 33 2
217 485.99 34 1
217 490.123 34 1
217 497.116 34 1
217 510.992 35 2
217 539.88 36 3
217 591.49 40 4
217 613.87 41 2
217 620.48 42 1
217 645.561 43 1
217 652.232 44 4
217 685.121 46 2
217 713.706 48 2
217 744.996 50 4
217 764.203 51 1
217 779.739 52 1
217 798.307 54 4
217 823.804 55 2
217 839.433 56 2
217 857.141 58 2
217 872.237 59 1
217 876.018 59 1
217 884.862 59 1
217 900.221 60 1
217 926.409 62 2
217 953.362 64 2
217 970.821 65 2
217 979.85 66 1
217 991.415 67 1
217 1005.26 67 2
217 1029.011 69 4
217 1071.905 72 3
217 1083.483 73 1
217 1096.727 74 1
217 1114.582 75 1
217 1126.976 75 2
217 1150.462 77 5
217 1163.084 78 2
217 1173.161 79 1
217 1190.399 80 1
217 1213.496 81 1
217 1228.047 82 3
217 1247.743 84 2
217 1259.643 84 2
217 1271.339 85 3
217 1285.906 86 1
217 1290.841 87 1
217 1306.665 88 1
217 1332.057 89 1
