ID TIME BLK VOTE
218 69.497 7 1258992
218 97.398 8 None
218 142.828 11 None
218 205.089 16 1719924
218 249.743 19 1701966
218 278.252 19 None
218 338.627 24 2081081
218 397.61 28 1857005
218 421.817 29 None
218 460.892 32 None
218 511.053 35 2102112
218 556.445 38 2060155
218 603.667 41 2086567
218 650.09 44 2212611
218 709.391 48 2139473
218 730.405 48 None
218 783.226 53 2276102
218 829.034 56 2147548
218 871.777 59 2212334
218 916.891 62 2161897
218 985.125 66 2167349
218 1014.146 68 2276437
218 1053.165 71 2319307
218 1097.014 74 2437479
218 1142.743 77 2482855
218 1188.272 80 2555389
218 1233.345 83 2584318
218 1293.157 87 2574408
218 1320.691 89 2543812
