ID TIME BLK #BUFFER #GETH BUFFERPEERS GETHPEERS
209 1 2 0 0 [] []
209 53 2 0 0 [] []
209 104 2 2 1 ['222', '224'] ['222']
209 158 4 1 1 ['222'] ['222']
209 211 4 0 1 [] ['222']
209 264 4 0 0 [] []
209 315 5 0 0 [] []
209 366 5 0 0 [] []
209 419 5 0 0 [] []
209 470 5 1 1 ['224'] ['224']
209 522 5 0 2 [] ['224', '222']
209 577 6 0 1 [] ['222']
209 629 6 0 0 [] []
209 679 7 1 0 ['222'] []
209 733 7 0 0 [] []
209 786 7 0 0 [] []
209 839 7 1 1 ['222'] ['222']
209 892 7 1 0 ['222'] []
209 945 7 1 1 ['222'] ['222']
209 998 7 1 0 ['222'] []
209 1051 7 1 0 ['222'] []
209 1104 7 1 0 ['222'] []
209 1157 7 1 0 ['222'] []
209 1211 7 0 2 [] ['224', '222']
209 1264 9 0 0 [] []
209 1318 9 0 1 [] ['222']
209 1370 9 1 0 ['222'] []
209 1424 9 0 0 [] []
209 1476 9 0 0 [] []
209 1527 9 1 1 ['224'] ['224']
209 1580 9 1 1 ['222'] ['222']
209 1633 11 0 1 [] ['222']
209 1684 11 2 0 ['224', '222'] []
209 1737 11 0 1 [] ['224']
209 1789 12 0 1 [] ['224']
209 1840 12 1 0 ['224'] []
209 1894 12 1 1 ['224'] ['224']
209 1947 13 1 0 ['224'] []
209 2000 13 0 0 [] []
209 2053 13 0 1 [] ['224']
209 2106 13 1 0 ['224'] []
209 2159 13 0 0 [] []
209 2212 13 2 1 ['224', '222'] ['222']
209 2264 14 0 2 [] ['224', '222']
209 2319 15 1 1 ['224'] ['224']
209 2372 15 0 0 [] []
209 2424 15 0 0 [] []
209 2478 16 1 0 ['224'] []
209 2531 16 1 0 ['224'] []
209 2584 16 0 0 [] []
209 2637 16 1 1 ['222'] ['222']
209 2691 16 0 1 [] ['222']
209 2744 16 1 1 ['224'] ['224']
209 2797 16 0 0 [] []
209 2850 16 0 0 [] []
209 2902 16 0 0 [] []
209 2953 16 0 1 [] ['224']
209 3005 16 0 0 [] []
209 3059 16 0 0 [] []
209 3112 16 0 0 [] []
209 3166 16 0 1 [] ['224']
209 3217 16 0 0 [] []
209 3270 16 0 0 [] []
209 3324 16 1 0 ['222'] []
209 3377 16 0 1 [] ['222']
209 3430 19 0 0 [] []
209 3482 20 0 0 [] []
209 3534 20 0 0 [] []
209 3587 20 0 0 [] []
209 3640 20 0 0 [] []
209 3694 20 0 0 [] []
209 3747 20 0 0 [] []
209 3800 20 0 0 [] []
209 3854 20 2 1 ['222', '224'] ['222']
209 3908 20 0 2 [] ['224', '222']
209 3962 21 0 0 [] []
209 4012 21 0 0 [] []
209 4065 21 0 0 [] []
209 4116 22 0 0 [] []
209 4169 22 0 0 [] []
209 4222 22 0 0 [] []
209 4275 22 1 1 ['224'] ['224']
209 4328 22 0 0 [] []
209 4382 22 1 1 ['224'] ['224']
209 4432 23 0 1 [] ['224']
209 4485 23 0 0 [] []
209 4538 23 0 0 [] []
209 4591 23 1 1 ['222'] ['222']
209 4644 24 0 0 [] []
209 4697 24 0 0 [] []
209 4750 24 0 0 [] []
209 4803 25 0 0 [] []
209 4856 25 0 0 [] []
209 4909 25 0 0 [] []
209 4962 25 0 0 [] []
