ID TIME BLK BLOCK UBI PAY BALANCE MEAN #VOTES #OKVOTES C? BCSIZE CPU BLOCKHASH
222 626 6 5 60 0 0.01 5000000 0 0 False 169691 20.79
222 653 6 6 60 0 0.01 5000000 0 0 False 169691 20.82
222 1077 9 7 0 0 60.01 5000000 2 0 False 173798 20.97
222 1107 9 8 0 0 60.01 5000000 2 0 False 173798 21.0
222 1127 9 9 0 0 60.01 5000000 2 0 False 173798 21.01
222 1564 12 10 20 0 20.01 5000000 3 0 False 177924 21.33
222 1585 12 11 20 0 20.01 5000000 3 0 False 177924 21.35
222 1604 12 12 20 0 20.01 5000000 3 0 False 177924 21.35
222 1857 14 13 0 40 40.01 2828286 4 3 False 181018 21.4
222 1883 14 14 0 40 40.01 2828286 4 3 False 181122 21.41
222 2399 16 15 0 0 40.01 2828286 6 3 False 184289 21.59
222 2419 16 16 0 0 40.01 2828286 6 3 False 184289 21.61
222 2677 18 17 20 40 40.01 2770295 6 6 False 186736 21.71
222 2698 18 18 20 40 40.01 2770295 6 6 False 186736 21.73
222 2845 19 19 0 0 60.01 2770295 7 6 False 189008 21.83
222 2948 20 20 0 0 60.01 2770295 7 6 False 190051 21.83
222 3159 21 20 0 0 60.01 2770295 7 6 False 192438 21.97
222 3180 21 21 0 0 60.01 2770295 7 6 False 192583 21.99
222 3478 22 22 0 0 60.01 2770295 7 6 False 193626 22.2
222 3623 23 23 0 0 20.01 2770295 10 6 False 196555 22.34
222 3650 24 24 0 80 20.01 2801412 10 9 True 197855 22.35
222 4399 27 26 0 0 100.01 2693755 12 12 True 203862 22.56
222 4428 27 27 0 0 100.01 2693755 12 12 True 203862 22.59
222 4671 29 28 0 0 100.01 2693755 12 12 True 208090 22.72
222 4700 29 29 0 0 100.01 2693755 12 12 True 208090 22.74
222 4726 29 29 0 0 100.01 2693755 12 12 True 208090 22.76
222 4806 30 30 0 0 60.01 2693755 15 12 True 209960 22.78
