ID TIME BLK ESTIMATE W B S1 S2 S3
224 341 3 0.375 1 2 281 365 952
224 9 3 0.357 2 4 741 342 255
224 19 3 0.25 2 7 356 285 228
224 29 3 0.192 2 10 282 284 228
224 39 3 0.156 2 13 415 387 300
224 49 3 0.289 5 13 957 963 951
224 59 3 0.386 8 13 956 962 951
224 69 3 0.46 11 13 958 963 952
224 79 3 0.411 11 16 372 466 488
224 89 3 0.371 11 19 276 281 227
224 99 3 0.338 11 22 272 277 226
224 109 3 0.311 11 25 267 273 220
224 119 3 0.287 11 28 272 279 226
224 129 3 0.267 11 31 265 267 216
224 139 3 0.25 11 34 251 253 208
224 149 3 0.235 11 37 263 267 218
224 159 3 0.221 11 40 268 274 223
224 169 3 0.209 11 43 273 279 225
224 179 3 0.198 11 46 271 275 222
224 189 3 0.189 11 49 275 280 225
224 199 3 0.18 11 52 275 277 226
224 209 3 0.172 11 55 273 276 224
224 219 3 0.164 11 58 270 273 222
224 229 3 0.158 11 61 269 275 223
224 239 3 0.151 11 64 272 277 222
224 250 3 0.146 11 67 272 277 225
224 260 3 0.14 11 70 268 276 222
224 270 3 0.135 11 73 271 275 220
224 280 3 0.131 11 76 263 264 212
224 290 3 0.126 11 79 265 271 219
224 300 3 0.122 11 82 282 284 228
224 310 3 0.119 11 85 360 392 359
224 320 3 0.145 14 85 954 958 713
224 330 3 0.17 17 85 955 962 750
224 340 3 0.193 20 85 961 963 954
224 350 3 0.216 23 85 949 957 766
224 360 3 0.237 26 85 958 962 940
224 370 3 0.257 29 85 960 963 953
224 380 3 0.275 32 85 958 961 938
224 390 3 0.285 34 86 956 716 412
224 400 3 0.302 37 86 952 961 897
224 410 3 0.311 39 87 956 962 462
224 420 3 0.304 39 90 607 514 233
224 430 3 0.297 39 93 279 283 231
224 440 3 0.29 39 96 275 280 227
224 450 3 0.284 39 99 274 280 409
224 460 3 0.292 41 100 546 879 952
224 470 3 0.3 43 101 606 728 799
224 480 3 0.294 43 104 269 274 330
224 490 5 0.288 43 107 273 278 370
224 500 5 0.282 43 110 274 280 223
224 510 5 0.277 43 113 273 281 226
224 521 5 0.272 43 116 273 277 226
224 531 5 0.267 43 119 272 276 224
224 541 5 0.262 43 122 272 278 222
224 551 5 0.257 43 125 276 282 230
224 561 5 0.259 44 127 274 280 709
224 571 5 0.254 44 130 274 294 511
224 581 5 0.25 44 133 271 276 224
224 591 5 0.246 44 136 274 278 224
224 601 5 0.242 44 139 269 276 225
224 611 5 0.238 44 142 261 266 214
224 621 5 0.234 44 145 253 258 332
224 631 5 0.236 45 147 532 692 918
224 641 6 0.247 48 147 950 958 907
224 651 6 0.259 51 147 951 958 928
224 661 6 0.27 54 147 955 949 951
224 671 6 0.266 54 150 373 375 579
224 681 6 0.262 54 153 279 283 230
224 691 6 0.258 54 156 275 280 226
224 701 6 0.255 54 159 276 280 226
224 711 6 0.251 54 162 659 426 223
224 721 6 0.248 54 165 271 274 223
224 731 6 0.244 54 168 270 272 220
224 741 6 0.241 54 171 266 269 304
224 751 6 0.238 54 174 275 278 354
224 762 6 0.235 54 177 273 463 598
224 772 6 0.245 57 177 705 964 954
224 782 7 0.254 60 177 847 964 948
224 792 7 0.251 60 180 275 295 366
224 802 7 0.248 60 183 275 280 227
224 812 7 0.245 60 186 275 282 226
224 822 7 0.242 60 189 271 276 224
224 832 7 0.239 60 192 270 275 223
224 842 7 0.236 60 195 271 386 434
224 852 7 0.245 63 195 922 940 722
224 862 7 0.246 64 197 907 605 221
224 872 7 0.243 64 200 269 274 221
224 882 7 0.241 64 203 277 282 227
224 892 7 0.238 64 206 269 275 223
224 902 7 0.235 64 209 398 260 213
224 912 7 0.24 66 210 948 820 480
224 922 7 0.237 66 213 668 553 261
224 932 7 0.235 66 216 275 279 226
224 942 7 0.233 66 219 275 281 227
224 952 7 0.23 66 222 270 276 224
224 962 7 0.228 66 225 274 279 226
224 972 7 0.225 66 228 278 287 228
224 983 7 0.223 66 231 276 280 227
224 993 8 0.221 66 234 273 282 227
224 1003 8 0.219 66 237 273 277 225
224 1013 8 0.217 66 240 269 274 225
224 1023 8 0.215 66 243 266 273 223
224 1033 8 0.212 66 246 271 278 225
224 1043 8 0.21 66 249 274 279 226
224 1053 8 0.208 66 252 273 277 226
224 1063 8 0.207 66 255 273 278 226
224 1073 8 0.205 66 258 274 279 226
224 1083 8 0.203 66 261 276 280 226
224 1093 8 0.201 66 264 310 278 226
224 1103 8 0.199 66 267 274 279 227
224 1113 8 0.197 66 270 273 279 226
224 1123 8 0.196 66 273 276 279 226
224 1133 8 0.194 66 276 679 471 226
224 1143 9 0.201 69 276 958 961 816
224 1153 9 0.208 72 276 956 962 949
224 1163 9 0.214 75 276 959 962 829
224 1173 9 0.221 78 276 959 962 888
224 1184 9 0.225 80 277 789 715 554
224 1194 9 0.223 80 280 276 282 228
224 1204 9 0.221 80 283 276 285 437
224 1214 9 0.225 82 284 266 706 946
224 1224 9 0.223 82 287 275 299 310
224 1234 9 0.221 82 290 273 279 226
224 1244 9 0.219 82 293 273 277 226
224 1254 9 0.218 82 296 269 273 223
224 1264 9 0.216 82 299 273 278 225
224 1274 9 0.214 82 302 270 276 225
224 1284 9 0.213 82 305 272 277 226
224 1294 8 0.211 82 308 268 275 225
224 1304 8 0.209 82 311 273 281 226
224 1314 8 0.208 82 314 272 278 225
224 1324 8 0.206 82 317 260 264 216
224 1334 8 0.205 82 320 263 270 222
224 1344 8 0.203 82 323 268 274 223
224 1354 8 0.202 82 326 335 359 322
