ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
218 5.925 3 0 0 0   
218 8.454 3 1 2 2 210;214 210 210;214
218 10.914 3 1 1 1 210 210 210
218 13.455 3 1 0 0  210 
218 15.935 3 1 0 0  210 
218 17.991 4 0 0 0   
218 20.469 4 0 0 0   
218 22.999 4 0 1 1 213  213
218 25.016 4 0 2 1 213;224  224
218 27.51 4 1 2 2 213;224 213 224;213
218 29.616 4 1 3 3 224;222;213 213 222;213;224
218 31.844 4 1 2 2 224;226 213 226;224
218 34.269 4 1 2 2 224;226 224 226;224
218 36.782 5 1 1 1 224 224 224
218 39.244 5 1 1 1 224 224 224
218 41.272 5 2 3 3 224;213;214 224;213 213;214;224
218 43.427 5 2 2 2 213;214 224;213 213;214
218 46.024 6 3 2 2 213;214 224;213;214 213;214
218 48.608 6 3 1 1 214 224;213;214 214
218 51.072 6 2 1 1 214 213;214 214
218 53.468 6 2 0 0  213;214 
218 55.757 6 2 0 0  213;214 
218 58.242 6 1 0 0  214 
218 60.733 6 1 0 0  213 
218 63.348 7 1 0 0  213 
218 65.781 7 1 0 0  213 
218 68.323 7 1 0 0  213 
218 70.823 7 1 0 0  213 
218 73.338 7 1 0 0  213 
218 75.843 7 1 0 0  213 
218 78.001 8 1 1 1 213 213 213
218 80.7 8 1 1 1 209 213 209
218 83.587 8 4 5 4 209;214;226;210;213 213;226;214;210 210;213;214;209
218 86.009 8 4 3 3 209;226;213 213;226;214;210 226;213;209
218 89.13 8 4 4 4 209;214;224;226 213;226;214;210 226;214;209;224
218 92.75 9 4 1 1 226 213;226;214;210 226
218 95.993 9 4 0 0  213;226;214;210 
218 99.376 9 4 1 1 226 213;226;214;210 226
218 103.65 9 4 0 0  213;226;214;210 
218 106.579 10 3 1 0 214 226;214;210 
218 109.558 10 3 1 1 214 226;214;210 214
218 112.645 10 3 0 0  226;214;210 
218 115.59 10 3 0 0  226;214;210 
218 118.864 10 3 0 0  226;214;210 
218 121.522 10 3 0 0  226;214;210 
218 123.991 11 2 0 0  226;210 
218 126.356 11 1 0 0  210 
218 128.487 11 1 1 1 222 210 222
218 130.975 11 2 1 1 222 222;210 222
218 133.432 11 2 1 1 222 222;210 222
218 135.932 11 1 1 1 222 222 222
218 138.062 11 1 0 0  222 
218 140.539 12 1 0 0  222 
218 142.767 12 1 0 0  222 
218 145.236 12 1 0 0  222 
218 147.819 12 1 1 1 222 222 222
218 150.25 12 1 1 1 222 222 222
218 152.853 12 1 1 1 222 222 222
218 155.406 12 2 2 1 224;222 224;222 224
218 157.712 12 2 1 1 224 224;222 224
218 160.383 12 3 2 2 224;209 224;222;209 224;209
218 163.232 12 3 3 3 209;224;213 224;222;209 213;224;209
218 168.457 14 3 1 1 224 224;213;209 224
218 171.265 14 4 2 1 217;209 224;213;217;209 209
218 174.071 14 4 1 1 217 224;213;217;209 217
218 177.255 14 4 1 1 217 224;213;217;209 217
218 180.199 14 4 1 1 217 224;213;217;209 217
218 183.18 15 4 1 1 217 224;213;217;209 217
218 185.932 15 4 1 1 214 224;213;217;209 214
218 189.876 15 5 1 1 214 224;213;217;209;214 214
218 192.999 15 5 1 1 224 224;213;217;209;214 224
218 196.615 15 5 1 1 222 213;222;217;209;214 222
218 199.99 16 5 0 0  213;222;217;209;214 
218 202.536 16 4 1 1 213 213;222;217;214 213
218 205.314 16 4 2 2 213;224 213;222;217;214 224;213
218 208.328 16 3 2 2 213;224 224;213;214 224;213
218 211.147 16 3 0 0  224;213;214 
218 213.787 17 3 1 1 224 224;213;214 224
218 216.759 17 2 1 1 226 224;213 226
218 219.142 17 3 1 1 226 224;213;226 226
218 221.751 17 3 1 1 226 213;226;214 226
218 224.121 17 2 2 2 226;213 226;214 213;226
218 226.861 18 2 2 2 226;213 226;214 213;226
218 229.241 18 1 1 1 213 226 213
218 231.92 18 2 1 1 213 213;226 213
218 234.129 18 1 0 0  226 
218 236.823 18 1 0 0  226 
218 239.309 18 1 0 0  226 
218 242.147 19 1 1 1 213 226 213
218 244.343 19 1 1 1 213 226 213
218 246.507 19 1 1 1 213 213 213
218 248.981 19 0 1 1 213  213
218 251.484 19 0 1 1 213  213
218 253.989 19 0 1 1 213  213
218 256.601 19 0 0 0   
218 259.015 19 0 0 0   
218 261.504 19 0 0 0   
218 264.053 19 1 1 1 214 214 214
218 266.57 20 2 1 1 214 213;214 214
218 269.078 20 1 1 1 214 214 214
218 271.605 20 1 2 1 214;226 214 226
218 274.251 21 2 2 2 214;226 226;214 226;214
218 276.916 21 2 1 1 226 226;214 226
218 279.184 21 3 1 1 210 226;214;210 210
218 281.899 21 3 1 1 210 226;214;210 210
218 284.273 21 3 1 1 224 226;214;210 224
218 286.53 21 3 1 1 224 226;214;210 224
218 289.819 22 3 1 1 224 226;214;210 224
218 292.361 22 4 2 1 213;211 213;226;214;210 211
218 294.725 22 3 3 2 213;211;222 213;214;210 222;213
218 298.266 22 4 2 1 213;222 213;211;214;210 213
218 300.866 22 5 2 2 222;211 213;222;211;214;210 222;211
218 303.667 23 4 1 1 211 213;222;211;210 211
218 306.145 23 4 0 0  213;222;211;210 
218 309.097 23 4 1 1 211 213;222;211;210 211
218 311.712 23 3 1 1 211 213;222;211 211
218 314.235 23 2 1 1 222 213;222 222
218 316.881 24 1 3 3 222;210;211 222 222;210;211
218 319.381 24 2 3 3 222;210;211 222;210 222;210;211
