ID TIME BLK ESTIMATE W B S1 S2 S3
209 6.47 2 0 1 2 755 331 265
209 7.478 2 0 1 5 360 273 260
209 8.487 2 0 1 8 353 277 264
209 9.488 2 0 1 11 360 279 263
209 10.496 2 0 1 14 358 279 263
209 11.497 2 0 1 17 349 271 258
209 12.503 2 0 1 20 354 277 264
209 13.504 2 0 1 23 356 277 263
209 14.504 2 0 1 26 357 279 264
209 15.507 2 0 1 29 348 268 254
209 16.507 2 0 1 32 342 266 253
209 17.508 2 0 1 35 341 261 249
209 18.51 3 0 1 38 356 273 258
209 19.513 3 0 1 41 356 276 261
209 20.52 3 0 1 44 340 261 249
209 21.523 3 0 1 47 351 272 258
209 22.528 3 0 1 50 350 268 255
209 23.53 3 0 1 53 352 268 252
209 24.53 3 0 1 56 357 277 262
209 25.532 3 0 1 59 345 267 257
209 26.547 3 0 1 62 350 272 261
209 27.548 3 0 1 65 349 269 255
209 28.554 3 0 1 68 349 272 260
209 29.556 3 0 1 71 354 275 260
209 30.557 3 0 1 74 359 278 262
209 31.579 3 0 1 77 606 510 436
209 32.583 4 0 4 77 847 941 940
209 33.584 4 0 7 77 950 945 940
209 34.604 4 0 10 77 839 946 941
209 35.605 4 0 13 77 761 948 944
209 36.647 4 0 13 80 510 453 443
209 37.656 4 0 13 83 356 278 263
209 38.738 4 0 13 86 355 276 264
209 39.752 4 0 13 89 352 270 345
209 40.843 4 0 16 89 764 901 930
209 41.859 4 0 18 90 938 915 620
209 42.915 4 0 20 91 952 879 266
209 44.017 4 0 21 93 952 412 342
209 45.051 4 0 24 93 953 953 947
209 46.106 4 0 27 93 953 953 942
209 47.126 4 0 30 93 805 814 752
209 48.168 4 0 30 96 351 272 242
209 49.195 4 0 30 99 351 273 263
209 50.259 4 0 30 102 349 272 258
209 51.283 4 0 30 105 356 276 262
209 52.293 4 0 30 108 355 278 263
209 53.317 4 0 30 111 354 274 261
209 54.818 5 0 30 114 358 278 264
209 55.884 5 0 30 117 358 278 264
209 57.989 5 0 30 120 342 264 252
209 59.266 5 0 30 123 331 255 244
209 60.386 5 0 30 126 339 262 251
209 61.407 5 0 30 129 334 257 248
209 62.427 5 0 30 132 330 254 243
209 63.433 5 0 30 135 344 263 250
209 64.502 5 0 30 138 358 279 265
209 65.513 5 0 30 141 673 578 499
209 66.543 5 0 33 141 945 944 926
209 67.55 5 0 36 141 944 944 941
209 68.578 5 0 39 141 947 945 937
209 69.631 5 0 42 141 948 943 894
209 70.885 6 0 44 142 946 941 402
209 71.855 6 0 46 143 750 769 409
209 72.867 6 0 48 144 341 892 938
209 73.869 6 0 50 145 622 938 937
209 74.875 6 0 53 145 807 812 831
209 75.882 6 0 53 148 349 274 262
209 76.911 6 0 53 151 348 274 259
209 77.941 6 0 53 154 342 263 250
209 78.945 6 0 53 157 344 265 252
209 79.953 6 0 53 160 338 260 249
209 80.965 6 0 53 163 334 257 247
209 81.97 6 0 53 166 337 258 246
209 82.976 6 0 53 169 350 268 253
209 83.981 6 0 53 172 340 261 251
209 84.992 7 0 54 174 753 662 459
209 86.003 7 0 55 176 770 283 259
209 87.064 7 0 55 179 352 271 259
209 88.073 7 0 55 182 353 273 262
209 89.09 7 0 55 185 355 260 263
209 90.099 7 0 56 187 788 684 600
209 91.114 7 0 59 187 952 950 944
209 92.125 7 0 62 187 951 950 943
209 93.133 7 0 65 187 950 949 932
209 94.134 7 0 68 187 952 951 944
209 95.139 7 0 68 190 387 417 431
209 96.145 7 0 68 193 356 277 262
209 97.174 7 0 68 196 350 271 257
209 98.183 7 0 68 199 355 275 263
209 99.188 7 0 68 202 357 277 263
209 100.229 8 0 68 205 354 275 381
209 101.242 8 0 70 206 679 863 936
209 102.254 8 0 73 206 952 950 940
209 103.262 8 0 75 207 577 726 916
209 104.272 8 0 75 210 360 280 271
209 105.301 8 0 75 213 352 274 262
209 106.313 8 0 75 216 347 269 258
209 107.354 8 0 75 219 343 266 254
209 108.367 8 0 75 222 349 273 259
209 109.383 8 0 75 225 353 274 261
209 110.414 8 0 75 228 358 277 265
209 111.445 8 0 75 231 350 273 261
209 112.455 8 0 75 234 335 259 250
209 113.467 9 0 75 237 344 268 241
209 114.474 9 0 75 240 345 270 241
209 115.483 9 0 75 243 351 274 261
209 116.505 9 0 75 246 351 272 258
209 117.511 9 0 75 249 337 258 246
209 118.519 9 0 75 252 353 272 258
209 119.534 9 0 76 254 347 404 744
209 121.606 9 0 78 255 684 812 901
209 122.616 9 0 79 257 509 555 862
209 123.618 9 0 82 257 949 949 942
209 124.621 9 0 82 260 389 415 505
209 125.625 9 0 82 263 356 278 264
209 126.685 9 0 82 266 355 276 263
209 127.7 9 0 82 269 634 349 255
209 128.701 9 0 82 272 551 263 252
209 129.713 9 0 82 275 348 274 258
209 130.759 10 0 82 278 355 273 257
209 131.782 10 0 82 281 350 273 259
209 132.785 10 0 82 284 350 274 263
209 133.804 10 0 82 287 352 278 259
209 134.812 10 0 82 290 352 272 238
209 135.82 10 0 82 293 349 270 258
209 136.834 10 0 82 296 359 281 264
209 137.85 10 0 82 299 356 274 260
209 138.873 10 0 82 302 352 353 460
209 139.906 10 0 85 302 947 932 902
209 140.918 10 0 88 302 953 946 937
209 141.92 10 0 91 302 952 953 948
209 142.938 10 0 94 302 763 945 942
209 143.97 10 0 94 305 348 348 577
209 145.342 11 0 94 308 354 276 261
209 146.817 11 0 94 311 346 269 261
209 147.832 11 0 94 314 346 267 253
209 148.862 11 0 94 317 352 273 260
209 149.884 11 0 94 320 349 272 258
209 150.922 11 0 94 323 343 266 253
209 151.96 11 0 94 326 343 265 252
209 153.007 11 0 94 329 340 262 249
209 154.013 11 0 94 332 356 277 260
209 155.055 11 0 94 335 348 268 255
209 156.064 11 0 94 338 357 277 263
209 157.071 11 0 94 341 355 278 262
209 158.259 11 0 94 344 357 278 262
209 159.271 11 0 94 347 340 263 251
209 160.281 12 0 94 350 333 258 247
209 161.317 12 0 94 353 334 259 250
209 162.35 12 0 94 356 338 262 256
209 163.385 12 0 97 356 775 853 936
209 164.407 12 0 100 356 947 948 941
209 165.415 12 0 103 356 950 949 944
209 166.418 12 0 105 357 915 750 613
