ID TIME BLK #BLOCKS
209 17.505 3 1
209 33.547 4 3
209 89.011 7 5
209 111.282 9 2
209 122.138 10 1
209 137.73 11 1
209 152.766 12 1
209 169.81 13 2
209 189.154 14 1
209 196.566 15 1
209 221.605 15 1
209 235.785 16 1
209 250.73 17 1
209 265.389 18 1
209 279.27 19 1
209 295.717 20 1
209 310.645 21 1
209 325.039 22 1
209 342.487 23 1
209 347.628 23 1
209 357.267 23 1
209 364.889 24 1
209 371.959 25 1
209 379.012 25 2
209 388.638 26 1
209 400.637 26 1
209 402.391 26 1
209 408.645 27 1
209 422.405 28 1
