ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
213 5.707 2 0 0 0   
213 8.217 2 2 2 2 226;210 210;226 226;210
213 11.048 2 2 1 1 210 210;226 210
213 13.351 2 2 1 1 210 210;226 210
213 16.089 3 2 1 1 210 210;226 210
213 18.592 3 1 1 1 210 210 210
213 21.1 3 1 2 2 210;224 210 224;210
213 23.612 3 1 2 2 210;224 210 224;210
213 26.137 3 1 2 2 210;224 210 224;210
213 28.631 3 1 2 2 210;224 210 224;210
213 31.176 4 1 1 1 210 210 210
213 33.651 4 1 2 2 210;224 210 224;210
213 36.201 4 2 2 2 210;224 224;210 224;210
213 39.126 4 2 1 1 210 224;210 210
213 41.416 4 2 1 1 210 224;210 210
213 44.012 4 2 3 2 210;218;217 210;218 217;210
213 46.745 4 3 2 2 210;218 217;210;218 218;210
213 49.622 4 4 2 1 210;226 217;210;226;218 210
213 52.985 4 4 3 3 210;226;218 217;210;226;218 218;226;210
213 56.028 4 4 1 1 226 217;210;226;218 226
213 58.879 4 4 0 0  217;210;226;218 
213 62.065 4 4 0 0  217;210;226;218 
213 66.221 6 3 0 0  210;226;218 
213 69.131 6 4 0 0  217;210;226;218 
213 72.005 6 4 1 1 218 217;210;226;218 218
213 74.418 6 4 1 1 218 217;210;226;218 218
213 77.376 7 4 1 1 218 217;210;226;218 218
213 80.222 7 4 0 0  217;210;226;218 
213 82.413 7 1 0 0  217 
213 84.985 7 1 0 0  217 
213 87.429 7 0 0 0   
213 89.504 7 0 0 0   
213 92.02 8 1 1 1 210 210 210
213 94.616 8 1 1 1 210 210 210
213 97.282 8 1 2 2 210;222 210 222;210
213 100.0 8 2 1 1 222 210;222 222
213 102.499 8 1 1 1 222 222 222
213 105.019 8 1 1 1 222 222 222
213 107.795 8 1 0 0  222 
213 110.21 9 1 2 2 222;210 222 222;210
213 112.644 9 1 1 1 210 222 210
213 115.106 9 2 1 1 210 210;222 210
213 117.335 9 2 0 0  210;222 
213 119.749 9 1 0 0  222 
213 122.259 9 0 0 0   
213 124.752 9 0 0 0   
213 127.249 9 0 0 0   
213 129.796 9 1 1 1 211 211 211
213 132.327 10 1 1 1 211 211 211
213 134.439 10 1 0 0  211 
213 136.857 10 1 0 0  211 
213 139.335 10 1 0 0  211 
213 141.45 11 1 1 1 210 211 210
213 143.921 11 2 1 1 210 210;211 210
213 146.458 11 2 1 1 210 210;211 210
213 149.03 11 2 1 1 210 210;211 210
213 151.539 11 2 1 1 210 210;211 210
213 154.138 11 2 0 0  210;211 
213 156.747 11 3 2 2 217;222 217;210;211 222;217
213 159.396 12 4 2 2 217;222 217;210;222;211 222;217
213 161.877 12 3 2 2 222;226 217;222;211 222;226
213 165.649 12 5 2 2 226;224 224;217;222;226;211 224;226
213 169.015 13 5 1 0 226 224;217;222;226;211 
213 171.896 13 5 1 1 226 224;217;222;226;211 226
213 174.724 13 5 1 1 226 224;217;222;226;211 226
213 177.807 13 5 1 1 226 224;217;222;226;211 226
213 180.667 13 5 1 1 226 224;217;222;226;211 226
213 184.104 14 5 0 0  224;217;222;226;211 
213 186.887 14 4 1 1 224 217;222;226;211 224
213 189.644 14 3 1 1 224 217;226;211 224
213 192.003 14 2 0 0  217;211 
213 194.519 14 2 0 0  217;211 
213 197.386 15 1 2 2 226;210 211 226;210
213 200.506 15 4 2 1 226;210 224;210;226;211 226
213 203.044 15 4 0 0  224;210;226;211 
213 205.251 15 3 0 0  210;226;211 
213 207.8 15 3 0 0  210;226;211 
213 210.279 15 2 1 1 210 210;211 210
213 212.353 15 2 1 1 210 210;211 210
213 215.375 16 3 1 1 217 217;210;211 217
213 217.781 16 3 3 3 217;210;222 217;210;211 222;217;210
213 220.446 16 4 2 2 210;222 217;210;222;211 222;210
213 223.288 16 4 1 1 222 217;210;222;211 222
213 225.845 16 4 1 1 222 217;210;222;211 222
213 228.495 17 3 1 1 222 217;222;211 222
213 231.567 17 4 1 1 209 217;209;222;211 209
213 234.872 17 4 1 1 209 217;209;222;211 209
213 237.724 17 4 0 0  217;209;222;211 
213 240.159 17 4 0 0  217;209;222;211 
213 242.776 18 3 0 0  209;222;211 
213 245.42 18 4 0 0  217;209;222;211 
213 249.088 18 3 0 0  209;222;211 
213 251.512 18 2 0 0  209;211 
213 253.998 18 2 0 0  209;211 
213 256.499 18 2 0 0  209;211 
213 258.997 19 2 0 0  209;211 
213 261.589 19 2 0 0  209;211 
213 264.067 19 2 0 0  209;211 
213 266.647 19 3 1 1 217 217;209;211 217
213 269.163 19 3 1 1 217 217;209;211 217
213 271.647 19 3 1 1 217 217;209;211 217
213 274.356 20 3 2 1 217;218 217;209;211 217
213 277.419 20 4 2 2 217;218 217;209;211;218 218;217
213 279.856 20 3 2 2 217;218 217;211;218 218;217
213 282.503 20 3 1 1 217 217;211;218 217
213 285.48 20 4 1 1 210 217;210;211;218 210
213 288.334 21 4 1 1 210 217;210;211;218 210
213 291.896 21 4 0 0  217;210;211;218 
213 294.752 21 4 1 1 210 217;210;211;218 210
213 297.888 21 2 0 0  210;211 
213 300.386 21 2 1 1 210 210;211 210
213 303.238 21 3 1 1 210 217;210;211 210
213 305.661 22 2 1 1 210 210;211 210
213 308.267 22 2 1 1 211 210;211 211
