ID TIME BLK ESTIMATE W B S1 S2 S3
213 5.769 3 0.875 3 0 967 964 974
213 6.77 3 0.929 6 0 963 949 970
213 7.771 3 0.95 9 0 826 935 971
213 8.772 3 0.808 10 2 371 418 757
213 9.773 3 0.656 10 5 367 319 561
213 10.779 3 0.553 10 8 352 307 542
213 11.788 3 0.477 10 11 331 287 503
213 12.815 3 0.42 10 14 345 298 521
213 13.815 3 0.375 10 17 336 286 499
213 14.818 3 0.339 10 20 347 298 513
213 15.824 3 0.309 10 23 341 297 520
213 16.839 4 0.284 10 26 336 295 522
213 17.844 4 0.263 10 29 335 292 512
213 18.845 4 0.244 10 32 337 291 489
213 19.848 4 0.228 10 35 332 286 497
213 20.85 4 0.214 10 38 331 285 498
213 21.859 4 0.202 10 41 324 280 493
213 22.859 4 0.209 11 43 396 678 955
213 23.86 4 0.25 14 43 946 917 967
213 24.861 4 0.287 17 43 954 925 968
213 25.865 4 0.32 20 43 952 919 969
213 26.868 4 0.351 23 43 889 797 900
213 27.868 4 0.336 23 46 557 357 500
213 28.869 4 0.322 23 49 328 283 497
213 29.871 4 0.309 23 52 324 279 493
213 30.874 5 0.297 23 55 334 290 513
213 31.88 5 0.287 23 58 344 437 673
213 32.888 5 0.276 23 61 336 285 505
213 33.889 5 0.267 23 64 342 293 513
213 34.899 5 0.258 23 67 338 294 517
213 35.9 5 0.25 23 70 341 295 525
213 36.901 5 0.242 23 73 329 286 508
213 37.905 5 0.235 23 76 336 291 513
213 38.915 5 0.228 23 79 331 286 505
213 39.919 5 0.222 23 82 333 289 511
213 40.929 5 0.216 23 85 339 293 517
213 41.936 5 0.21 23 88 329 287 513
213 43.012 5 0.204 23 91 329 285 507
213 44.025 5 0.199 23 94 562 282 497
213 45.049 5 0.202 24 96 900 673 590
213 46.069 5 0.206 25 98 927 666 677
213 47.068 5 0.201 25 101 639 286 505
213 48.075 5 0.196 25 104 348 294 516
213 49.092 5 0.192 25 107 334 288 506
213 50.149 5 0.188 25 110 337 290 510
213 51.154 5 0.183 25 113 346 300 520
213 52.178 5 0.18 25 116 345 297 497
213 53.245 5 0.176 25 119 329 285 498
213 54.306 5 0.172 25 122 336 292 512
213 55.322 5 0.169 25 125 343 297 519
213 56.324 5 0.166 25 128 358 309 538
213 57.352 5 0.162 25 131 375 321 564
213 58.661 5 0.159 25 134 363 315 550
213 59.934 6 0.156 25 137 368 317 552
213 62.132 7 0.154 25 140 363 313 549
213 63.787 7 0.151 25 143 333 288 509
213 65.058 7 0.148 25 146 337 291 516
213 66.226 7 0.146 25 149 359 312 551
213 67.278 7 0.143 25 152 355 311 549
213 68.445 7 0.141 25 155 350 305 540
213 69.458 7 0.139 25 158 342 296 524
213 70.495 7 0.136 25 161 333 287 489
213 71.498 7 0.134 25 164 328 285 503
213 72.541 7 0.132 25 167 335 291 520
213 73.55 7 0.13 25 170 339 294 519
213 74.646 7 0.128 25 173 352 305 537
213 76.023 7 0.126 25 176 347 303 535
213 77.048 8 0.124 25 179 342 293 514
213 78.519 8 0.123 25 182 356 353 632
213 79.787 8 0.135 28 182 946 963 972
213 80.807 8 0.138 29 184 531 616 817
213 81.886 8 0.136 29 187 355 306 537
213 82.953 8 0.134 29 190 345 298 522
213 83.991 8 0.132 29 193 327 282 503
213 85.031 8 0.131 29 196 336 286 510
213 86.04 8 0.129 29 199 370 319 566
213 87.078 8 0.127 29 202 370 317 545
213 88.091 8 0.126 29 205 356 306 533
213 89.125 8 0.124 29 208 337 302 541
213 90.128 8 0.122 29 211 353 311 545
213 91.18 8 0.121 29 214 356 310 542
213 92.183 9 0.119 29 217 352 306 535
213 93.22 9 0.118 29 220 340 295 504
213 94.306 9 0.117 29 223 332 286 504
213 95.326 9 0.115 29 226 324 280 494
213 96.338 9 0.114 29 229 330 284 499
213 97.499 9 0.113 29 232 333 289 508
213 98.57 9 0.111 29 235 678 444 551
213 99.604 9 0.11 29 238 623 446 554
213 100.614 9 0.109 29 241 373 321 561
213 101.627 9 0.108 29 244 372 321 556
213 102.65 9 0.106 29 247 369 319 561
213 103.669 9 0.105 29 250 370 321 561
213 104.676 9 0.108 30 252 619 669 873
213 105.708 9 0.117 33 252 964 961 972
213 106.751 9 0.126 36 252 961 957 969
213 107.758 10 0.135 39 252 967 965 974
213 108.762 10 0.144 42 252 938 930 971
213 109.793 10 0.153 45 252 939 896 967
213 110.797 10 0.161 48 252 893 902 966
213 111.817 10 0.166 50 253 561 790 761
213 112.842 10 0.174 53 253 967 965 974
213 113.857 10 0.182 56 253 949 929 971
213 114.868 10 0.19 59 253 901 853 965
213 115.888 10 0.198 62 253 955 943 967
213 116.923 10 0.205 65 253 958 950 969
213 117.978 10 0.213 68 253 957 945 967
213 118.994 10 0.22 71 253 962 950 970
213 120.168 10 0.227 74 253 958 944 960
213 121.204 10 0.234 77 253 967 964 974
213 122.258 11 0.241 80 253 966 964 974
213 123.283 11 0.248 83 253 942 858 891
213 124.288 11 0.246 83 256 394 299 522
213 125.354 11 0.243 83 259 362 315 552
213 126.358 11 0.241 83 262 335 292 514
